COURSE CODE,SECTION,TIME,DAY,ROOM,PROFESSOR
IT137,BT3,04:30 PM - 07:30 PM,TH,MKT219,
CS190P,AT2,7:30AM - 12:00PM,T,MKT109,
CS154,CT2,7:30AM - 9:00AM,MWF,MKT109,
CS135L,AT2,12:00PM-4:30PM,S, MKT106,PROF. UMALI
CS130L,AT2,07:30AM-12:00PM,F,MKT109,
CS135L,AT1,7:30 - 12:00 NN,S,MKT106,
CS135,BT2,07:30 AM - 10:30 AM,Th,MKT109,
CS162P,BC1,12:00PM - 9:00PM,S,MKT109,
CS150,BC2,4:30-7:30,F,MKT109,
HUM15,AC1,07.30 AM - 09.00 AM,MWF,MKT109,
CS135L,BT2,12.00 PM - 04.30 PM,Th,MKT109,
IT131L,BC2,12:00PM-4:30PM,T,MKT109,Prof. Vea
HUM13,AT3,04:30PM - 06:00 PM,MWF,MKT109,
IT131,BC3,01:30 PM-03:00 PM,MW,MKT303,PROF. MARAYAG
SS10,BY01,3:00PM - 4:30PM,MWF,MKT319,BRO. YUZON
CS152,AC1,07:30 AM-12:00 PM,S,MKT302,PROF. PRF. SAHARKHIZ
HUM17,AC1,9:00AM-10:30AM,MWF,MKTIDF,PROF. RAMOS
IT154,BT3,10:30am-12:00pm,MW,MKT325,
IT171,BT2,12:00 - 4:30,T,202,
CS155P,BT1,7:30-12:00 PM,F,MKT105,
MATH21,AT4,01:30PM - 03:00PM,MWF,MKT306,
IT171,BT2,12:00 - 3:00,W,202,
PHY10-1,AC4,1:30PM-3:00PM,MWF,MKT117,Prof. Lopez
CS155P,BT1,6:00 PM-09:00 PM,F,MKT214,
IT137,BT1,4:30PM-7:30PM,T,MKT219,Prof. Villaflor
MATH30,BC3,3:00 PM - 4:30 PM,MWF,MKT327,PROF. DE JESUS
IT131,BC2,10:30 AM - 12:00 PM,MW,MKT322,PROF. VEA
MGT109-1,AC11,6:00PM-7:30PM,MWF,MKT109,
IT131L,BC1,7:30 AM - 12:00 PM,T,MKT109,PROF. VEA
IT154L,BT1,7:30-1200 PM,S,MKT104,
IT150,CT2,6:00 PM - 9:00 PM,T,MKT220,PROF. SAN JOSE
IT153L,BT1,12:00 PM - 4:30 PM,S,MKT206,PROF. LAXAMANA
CS141,AC2,10:30 - 12:00 NN,MWF,MKT321,
MATH15-L,BT4,12:00PM-04:30PM,Th,MKT109,
CS135L,CT4,12:OOPM-4:30PM,TH,MKT109,
IT181P,BT1,07:30AM-12:00PM,T,MKT109,
IT154,AT1,6:00-9:00 PM,F,MKT322,
IT181P,BT1,01:30AM-4:30PM,T,MKT109,
HUM15,AT3,3:00PM-4:30PM,MWF,MKT109,
ENG13,AY03,10:30 AM-12:00 PM,MWF,MKT115,
ACT111,BY01,1:30 PM - 6:00 PM,S,MKT119,
MATH22,BT1,3:00PM-4:30PM,MWF,MKT305,PORTILLO
CS220,MCOM1,6:00-9:00 PM,W,MKT107,LVEA
HUM15,AC3,10:30 AM - 12:00 PM,MWF,MKT109,
PHY11-1,BC1,9:30-10:30,MWF,MKT109,
CS192P,BC1,12:00-4:30,S,MKT104,ARESH
CS220L,MCOM1,4:30-9:00 PM,M,MKT107,LVEA
PHY11-1,BC2,10:30AM-12:00PM,MWF,MKT109,
IT191P,BT1,7:30 AM-12:00 PM,S,MKT109,
PHY11-1L,AT1,7:30-12:00 PM,T,MKT324,RABO
IT191P,BT1,7:30 AM-10:30 AM,T,MKT109,
CS137,BT1,1:30 - 3:00,MWF,MKT109,
IT153L,BT5,12:00 PM - 4:30 PM,T,MKT105,
IT153L,BT6,12:00PM-04:30PM,T,MKT109,
CS135,AT1,7:30-10:30 AM,T,MKT303,G. UMALI
CS137,CT1,4:30-6:00 PM,MWF,MKT320,DE JESUS
IT134,AT2,9:00-10:30,MWF,MKT322,SAMONTE
IT153L,BT2,12:00pm-4:30pm,S,MKT109,
CS135,BT1,12:00 PM - 3:00 PM,Th,MKT320,PROF. GLORY UMALI
HUM17,AT4,3:00-4:30 PM,MWF,MKT301,RAMOS
HUM13,AC1,7:30 AM - 9:00 PM,MWF,MKT320,
MGT109-1,AC10,04:30PM-06:00PM,MWF,MKT320,
CS135L,BT1,12:00 PM - 4:30 PM,T,MKT109,PROF. GLORY UMALI
PHY11-1L,AT3,7:30-12:00 PM,TH,MKT324,TANAWAN
MATH30,BT1,7:30AM - 9:00AM,MWF,MKT305,
HUM14,AT1,10:30 AM - 12:00 PM,MWF,MKT301,
CS191P,BC1,6:00 PM - 9:00 PM,S,MKT109,
IT137L,BT2,12:00-4:30 PM,TH,MKT109,
ENG13,AY02,1:30-3:00 PM,MWF,MKT313,
IT153L,BT4,07:30 AM-12:00 PM,F,MKT109,
IT137,AT1,09:00-10:30 AM,MW,MKT301,
IT152L,BT2,07:30-12:00 PM,TH,MKT201,
IT137L,AT1,07:30-12:00 PM,T,MKT105,
SS11,AT1,4:30-6:00,MWF,MKT109,
CS153L,BT2,12:00PM-04:30PM,S,MKT109,
HUM10,BY02,10:30AM - 12:00PM,MWF,MKT109,
ENG13,AYO1,03:00 PM - 4:30 PM,MWF,MKT109,
SS15,AT2,10:30AM-12:00PM,MWF,MKT317,
IT137,BT2,4:30PM-7:30PM,W,MKT115,Prof. Villaflor
PHY11-1L,AT4,12:00PM-4:30PM,S,MKT324,Prof. Lopez
IT154,CT1,06:00PM-9:00PM,Th,MKT220,Prof. Angeles
IT154L,BT2,12:00PM-4:30PM,S,MKT204,Prof. Angeles
HUM17,AC2,10:30AM-12:00PM,MWF,MKT301,PROF.RAMOS
CS137,AT1,09:00AM - 10:30AM,MWF,MKT109,
HUM14,AC1,07:30AM - 09:00AM,MWF,MKT109,
IT153L,BT3,7:30am -12:00pm,W,MKT109,
HUM14,AT6,3:00PM - 4:30PM,MWF,MKT320,Prof. Brazalote
CS130,BT1,09:00AM-12:00PM,W,MKT109,
CS130L,BT1,07:30AM-12:00PM,F,MKT109,
MATH30,BT4,1:30PM - 3:00PM,MWF,MKT305,HARDY SIERRA
IT131,BC1,09:00AM-10:30AM,MW,MKT 325,
IT160,BT3,03:00PM-04:30PM,WF,MKT 319,
IT160L,BT3,12:00PM-04:30PM,Th,MKT 104,
HUM17,AN01,12:00PM-6:00PM,T,MKT 317,
MATH30,BC2,1:30pm-03:00pm,MWF,MKT305,
IT152L,BT1,7:30AM-12:00PM,T,MKT210,Prof.Tin Tomas
MATH15,AT1,12:00PM-3:00PM,S,MKT305,
MATH15,BT2,12:00PM-3:00PM,S,MKT305,
MATH15-L,AT1,12:00PM-4:30PM,T,MKT108,
MATH30,BC1,10:30AM-12:00PM,S,MKT305,
PHY10-1,AC1,7:30AM-09:00AM,MWF,MKT202,
SS15,AT1,7:30AM-9:00AM,S,MKT304,
IT145,CT1,06:00PM - 09:00PM,T,MKT115,
IT139,CT1,04:30PM - 06:00PM,Th,MKT110,
IT199R,BT1,12:00PM - 04:30PM,Sun,MKTFLD8,
PHY11-1,AT2,1:30pm-3:00pm,MWF,115,
IT154,CT2,6:00 PM - 9:00 PM,F,MKT322,
IT150,CT1,6:00pm-9:00pm,W,MKT202,
PHY11-1L,AT2,12:00PM-4:30PM,T,324,
PHY11-1,BC4,1:30pm-3:00pm,MWF,15,
IT136F,CT2,4:30 PM - 7:30PM,Su,MKTFLD8,
SS15,AT3,12:00PM -1:30PM,MWF,MKT311,
SS11,BY03,03:00pm-03:00pm,MWF,MKT320,
IT152L,BT5,7:30AM-12:00PM,S,210,
IT131,CT1,7:30PM-9:00PM,TTH,MKT110,
CS150,CT1,6:00 PM - 9:00PM,Tu,MKT219,
HUM13,AT2,3:00 PM - 4:30 PM,MWF,MKT317,
SS14,AT1,7:30AM - 9:00AM,MWF,MKT312,
HUM17,AT2,10:30AM-12:00PM,MWF,MKT311,PROF. BRAZALOTE
IT160,BT2,1:30 PM - 3:00 PM,WF,MKT320,
IT160L,BT2,7:30 AM - 12:00 PM,TH,MKT102,
IT184L,BT3,7:30 AM - 12:00 PM,WF,MKT204,
MATH21,AT3,12:00 PM - 1:30 PM,MWF,MKT306,
PHY10-1,AC3,12:00 PM -01:30 PM,MWF,MKT327,
PHY10-1L,BT1,07:30 PM -12:00 PM,S,MKT324,
